BP_LockOnRifle_AoE|WPN_LockOnRifle

PRJ_SentryOvercharge_Projectile|BP_SentryGun_Redeployable
BP_SentryGun_Redeployable_Heavy|BP_SentryGun_Redeployable
BP_TurretEMPDischarge|BP_SentryGun_Redeployable
BP_EletrocutedSentry|BP_SentryGun_Redeployable
BP_Sentry_PlasmaBeam|BP_SentryGun_Redeployable

BP_PlasmaTrail_LineCutter|WPN_LineCutter
BP_Grenade_Incendiary_Flame|Grenade_Incendiary
BP_HeavyParticleCannon_StickyFlame|WPN_HeavyParticleCannon

BP_Zhukov_IceMines|WPN_DualMPs
BP_StickyFlame|WPN_FlameThrower

BP_StickyFrost|WPN_Cryospray

BP_BRT_Bomb|WPN_BurstPistol

BP_Crossbow_Electrobeam|WPN_Crossbow

BP_Grenade_Neurotoxin_Cloud|Grenade_Neurotoxin
